id,dzien,miesiac,rok,data_pelna,dzien_tygodnia,kwartal
4961,20,8,2025,2025-08-20,Wednesday,3
4962,21,8,2025,2025-08-21,Thursday,3
4963,22,8,2025,2025-08-22,Friday,3
4964,23,8,2025,2025-08-23,Saturday,3
4965,24,8,2025,2025-08-24,Sunday,3
4966,25,8,2025,2025-08-25,Monday,3
4967,26,8,2025,2025-08-26,Tuesday,3
4968,27,8,2025,2025-08-27,Wednesday,3
4969,28,8,2025,2025-08-28,Thursday,3
4970,29,8,2025,2025-08-29,Friday,3
4971,30,8,2025,2025-08-30,Saturday,3
4972,31,8,2025,2025-08-31,Sunday,3
4973,1,9,2025,2025-09-01,Monday,3
4974,2,9,2025,2025-09-02,Tuesday,3
4975,3,9,2025,2025-09-03,Wednesday,3
4976,4,9,2025,2025-09-04,Thursday,3
4977,5,9,2025,2025-09-05,Friday,3
4978,6,9,2025,2025-09-06,Saturday,3
4979,7,9,2025,2025-09-07,Sunday,3
4980,8,9,2025,2025-09-08,Monday,3
4981,9,9,2025,2025-09-09,Tuesday,3
4982,10,9,2025,2025-09-10,Wednesday,3
4983,11,9,2025,2025-09-11,Thursday,3
4984,12,9,2025,2025-09-12,Friday,3
4985,13,9,2025,2025-09-13,Saturday,3
4986,14,9,2025,2025-09-14,Sunday,3
4987,15,9,2025,2025-09-15,Monday,3
4988,16,9,2025,2025-09-16,Tuesday,3
4989,17,9,2025,2025-09-17,Wednesday,3
4990,18,9,2025,2025-09-18,Thursday,3
4991,19,9,2025,2025-09-19,Friday,3
4992,20,9,2025,2025-09-20,Saturday,3
4993,21,9,2025,2025-09-21,Sunday,3
4994,22,9,2025,2025-09-22,Monday,3
4995,23,9,2025,2025-09-23,Tuesday,3
4996,24,9,2025,2025-09-24,Wednesday,3
4997,25,9,2025,2025-09-25,Thursday,3
4998,26,9,2025,2025-09-26,Friday,3
4999,27,9,2025,2025-09-27,Saturday,3
5000,28,9,2025,2025-09-28,Sunday,3
5001,29,9,2025,2025-09-29,Monday,3
5002,30,9,2025,2025-09-30,Tuesday,3
5003,1,10,2025,2025-10-01,Wednesday,4
5004,2,10,2025,2025-10-02,Thursday,4
5005,3,10,2025,2025-10-03,Friday,4
5006,4,10,2025,2025-10-04,Saturday,4
5007,5,10,2025,2025-10-05,Sunday,4
5008,6,10,2025,2025-10-06,Monday,4
5009,7,10,2025,2025-10-07,Tuesday,4
5010,8,10,2025,2025-10-08,Wednesday,4
5011,9,10,2025,2025-10-09,Thursday,4
5012,10,10,2025,2025-10-10,Friday,4
5013,11,10,2025,2025-10-11,Saturday,4
5014,12,10,2025,2025-10-12,Sunday,4
5015,13,10,2025,2025-10-13,Monday,4
5016,14,10,2025,2025-10-14,Tuesday,4
5017,15,10,2025,2025-10-15,Wednesday,4
5018,16,10,2025,2025-10-16,Thursday,4
5019,17,10,2025,2025-10-17,Friday,4
5020,18,10,2025,2025-10-18,Saturday,4
5021,19,10,2025,2025-10-19,Sunday,4
5022,20,10,2025,2025-10-20,Monday,4
5023,21,10,2025,2025-10-21,Tuesday,4
5024,22,10,2025,2025-10-22,Wednesday,4
5025,23,10,2025,2025-10-23,Thursday,4
5026,24,10,2025,2025-10-24,Friday,4
5027,25,10,2025,2025-10-25,Saturday,4
5028,26,10,2025,2025-10-26,Sunday,4
5029,27,10,2025,2025-10-27,Monday,4
5030,28,10,2025,2025-10-28,Tuesday,4
5031,29,10,2025,2025-10-29,Wednesday,4
5032,30,10,2025,2025-10-30,Thursday,4
5033,31,10,2025,2025-10-31,Friday,4
5034,1,11,2025,2025-11-01,Saturday,4
5035,2,11,2025,2025-11-02,Sunday,4
5036,3,11,2025,2025-11-03,Monday,4
5037,4,11,2025,2025-11-04,Tuesday,4
5038,5,11,2025,2025-11-05,Wednesday,4
5039,6,11,2025,2025-11-06,Thursday,4
5040,7,11,2025,2025-11-07,Friday,4
5041,8,11,2025,2025-11-08,Saturday,4
5042,9,11,2025,2025-11-09,Sunday,4
5043,10,11,2025,2025-11-10,Monday,4
5044,11,11,2025,2025-11-11,Tuesday,4
5045,12,11,2025,2025-11-12,Wednesday,4
5046,13,11,2025,2025-11-13,Thursday,4
5047,14,11,2025,2025-11-14,Friday,4
5048,15,11,2025,2025-11-15,Saturday,4
5049,16,11,2025,2025-11-16,Sunday,4
5050,17,11,2025,2025-11-17,Monday,4
5051,18,11,2025,2025-11-18,Tuesday,4
5052,19,11,2025,2025-11-19,Wednesday,4
5053,20,11,2025,2025-11-20,Thursday,4
5054,21,11,2025,2025-11-21,Friday,4
5055,22,11,2025,2025-11-22,Saturday,4
5056,23,11,2025,2025-11-23,Sunday,4
5057,24,11,2025,2025-11-24,Monday,4
5058,25,11,2025,2025-11-25,Tuesday,4
5059,26,11,2025,2025-11-26,Wednesday,4
5060,27,11,2025,2025-11-27,Thursday,4
5061,28,11,2025,2025-11-28,Friday,4
5062,29,11,2025,2025-11-29,Saturday,4
5063,30,11,2025,2025-11-30,Sunday,4
5064,1,12,2025,2025-12-01,Monday,4
5065,2,12,2025,2025-12-02,Tuesday,4
5066,3,12,2025,2025-12-03,Wednesday,4
5067,4,12,2025,2025-12-04,Thursday,4
5068,5,12,2025,2025-12-05,Friday,4
5069,6,12,2025,2025-12-06,Saturday,4
5070,7,12,2025,2025-12-07,Sunday,4
5071,8,12,2025,2025-12-08,Monday,4
5072,9,12,2025,2025-12-09,Tuesday,4
5073,10,12,2025,2025-12-10,Wednesday,4
5074,11,12,2025,2025-12-11,Thursday,4
5075,12,12,2025,2025-12-12,Friday,4
5076,13,12,2025,2025-12-13,Saturday,4
5077,14,12,2025,2025-12-14,Sunday,4
5078,15,12,2025,2025-12-15,Monday,4
5079,16,12,2025,2025-12-16,Tuesday,4
5080,17,12,2025,2025-12-17,Wednesday,4
5081,18,12,2025,2025-12-18,Thursday,4
5082,19,12,2025,2025-12-19,Friday,4
5083,20,12,2025,2025-12-20,Saturday,4
5084,21,12,2025,2025-12-21,Sunday,4
5085,22,12,2025,2025-12-22,Monday,4
5086,23,12,2025,2025-12-23,Tuesday,4
5087,24,12,2025,2025-12-24,Wednesday,4
5088,25,12,2025,2025-12-25,Thursday,4
5089,26,12,2025,2025-12-26,Friday,4
5090,27,12,2025,2025-12-27,Saturday,4
5091,28,12,2025,2025-12-28,Sunday,4
5092,29,12,2025,2025-12-29,Monday,4
5093,30,12,2025,2025-12-30,Tuesday,4
5094,31,12,2025,2025-12-31,Wednesday,4
5095,1,1,2026,2026-01-01,Thursday,1
5096,2,1,2026,2026-01-02,Friday,1
5097,3,1,2026,2026-01-03,Saturday,1
5098,4,1,2026,2026-01-04,Sunday,1
5099,5,1,2026,2026-01-05,Monday,1
5100,6,1,2026,2026-01-06,Tuesday,1
5101,7,1,2026,2026-01-07,Wednesday,1
5102,8,1,2026,2026-01-08,Thursday,1
5103,9,1,2026,2026-01-09,Friday,1
5104,10,1,2026,2026-01-10,Saturday,1
5105,11,1,2026,2026-01-11,Sunday,1
5106,12,1,2026,2026-01-12,Monday,1
5107,13,1,2026,2026-01-13,Tuesday,1
5108,14,1,2026,2026-01-14,Wednesday,1
5109,15,1,2026,2026-01-15,Thursday,1
5110,16,1,2026,2026-01-16,Friday,1
